epoch,input_type,metric_name,layer,value
0,train,loss,,4.718676064331551
0,test,loss,,4.729304243832608
0,train,accuracy,,0.02036420628428459
0,test,accuracy,,0.01592273637652397
0,general,weights_l2,layers.0.weight,8.413580894470215
0,general,weights_l2,layers.1.weight,8.408645629882812
0,general,weights_l2,layers.2.weight,6.287240028381348
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.0006944921319049202
1,test,loss,,8.196376465415993
1,train,accuracy,,1.0
1,test,accuracy,,0.016314277425408363
1,general,weights_l2,layers.0.weight,260.0753479003906
1,general,weights_l2,layers.1.weight,216.9153594970703
1,general,weights_l2,layers.2.weight,135.7324676513672
1,train,zero_terms,,0.0
1,train,softmax_collapse,,1.0
2,train,loss,,9.369202619673481e-05
2,test,loss,,8.847308116826593
2,train,accuracy,,1.0
2,test,accuracy,,0.017749935388565063
2,general,weights_l2,layers.0.weight,356.89556884765625
2,general,weights_l2,layers.1.weight,299.3153076171875
2,general,weights_l2,layers.2.weight,186.52259826660156
2,train,zero_terms,,0.0
2,train,softmax_collapse,,1.0
3,train,loss,,1.3821058633722269e-05
3,test,loss,,9.318508929451156
3,train,accuracy,,1.0
3,test,accuracy,,0.018533019348978996
3,general,weights_l2,layers.0.weight,482.90069580078125
3,general,weights_l2,layers.1.weight,407.0536193847656
3,general,weights_l2,layers.2.weight,252.7240447998047
3,train,zero_terms,,0.0
3,train,softmax_collapse,,1.0
4,train,loss,,2.0467313638975557e-06
4,test,loss,,9.60709444936969
4,train,accuracy,,1.0
4,test,accuracy,,0.02153484709560871
4,general,weights_l2,layers.0.weight,652.5081176757812
4,general,weights_l2,layers.1.weight,552.768798828125
4,general,weights_l2,layers.2.weight,341.9267578125
4,train,zero_terms,,0.0
4,train,softmax_collapse,,1.0
5,train,loss,,3.030453511135701e-07
5,test,loss,,9.719524419633764
5,train,accuracy,,1.0
5,test,accuracy,,0.026363873854279518
5,general,weights_l2,layers.0.weight,880.8987426757812
5,general,weights_l2,layers.1.weight,749.8151245117188
5,general,weights_l2,layers.2.weight,462.1411437988281
5,train,zero_terms,,0.0
5,train,softmax_collapse,,1.0
6,train,loss,,4.472376138552517e-08
6,test,loss,,9.485234931304547
6,train,accuracy,,1.0
6,test,accuracy,,0.036805011332035065
6,general,weights_l2,layers.0.weight,1187.7421875
6,general,weights_l2,layers.1.weight,1015.1328125
6,general,weights_l2,layers.2.weight,623.696044921875
6,train,zero_terms,,0.0
6,train,softmax_collapse,,1.0
7,train,loss,,6.579372881115591e-09
7,test,loss,,9.121687473292203
7,train,accuracy,,1.0
7,test,accuracy,,0.05951448529958725
7,general,weights_l2,layers.0.weight,1597.2933349609375
7,general,weights_l2,layers.1.weight,1369.3212890625
7,general,weights_l2,layers.2.weight,839.5479736328125
7,train,zero_terms,,0.0
7,train,softmax_collapse,,1.0
8,train,loss,,9.726226043841589e-10
8,test,loss,,8.437304217692786
8,train,accuracy,,1.0
8,test,accuracy,,0.10767423361539841
8,general,weights_l2,layers.0.weight,2141.9287109375
8,general,weights_l2,layers.1.weight,1838.0650634765625
8,general,weights_l2,layers.2.weight,1126.7734375
8,train,zero_terms,,0.0
8,train,softmax_collapse,,1.0
9,train,loss,,1.452821837879355e-10
9,test,loss,,7.28799106577425
9,train,accuracy,,1.0
9,test,accuracy,,0.19772905111312866
9,general,weights_l2,layers.0.weight,2864.666748046875
9,general,weights_l2,layers.1.weight,2453.427734375
9,general,weights_l2,layers.2.weight,1508.0960693359375
9,train,zero_terms,,0.0
9,train,softmax_collapse,,1.0
10,train,loss,,2.2102123082188776e-11
10,test,loss,,5.820683670734678
10,train,accuracy,,1.0
10,test,accuracy,,0.3332028090953827
10,general,weights_l2,layers.0.weight,3819.142822265625
10,general,weights_l2,layers.1.weight,3254.6904296875
10,general,weights_l2,layers.2.weight,2013.5347900390625
10,train,zero_terms,,0.0
10,train,softmax_collapse,,1.0
11,train,loss,,3.4374221807690045e-12
11,test,loss,,4.243704377349839
11,train,accuracy,,1.0
11,test,accuracy,,0.5203602313995361
11,general,weights_l2,layers.0.weight,5068.80126953125
11,general,weights_l2,layers.1.weight,4290.2783203125
11,general,weights_l2,layers.2.weight,2683.394775390625
11,train,zero_terms,,0.0
11,train,softmax_collapse,,1.0
12,train,loss,,5.524743684969696e-13
12,test,loss,,2.8149851273269757
12,train,accuracy,,1.0
12,test,accuracy,,0.6996867656707764
12,general,weights_l2,layers.0.weight,6680.1884765625
12,general,weights_l2,layers.1.weight,5619.79296875
12,general,weights_l2,layers.2.weight,3570.80224609375
12,train,zero_terms,,0.0
12,train,softmax_collapse,,1.0
13,train,loss,,9.317423363975872e-14
13,test,loss,,1.725790283035935
13,train,accuracy,,1.0
13,test,accuracy,,0.828112781047821
13,general,weights_l2,layers.0.weight,8730.1171875
13,general,weights_l2,layers.1.weight,7325.029296875
13,general,weights_l2,layers.2.weight,4750.26318359375
13,train,zero_terms,,0.0
13,train,softmax_collapse,,1.0
14,train,loss,,1.6646454030062702e-14
14,test,loss,,1.1030942126221985
14,train,accuracy,,1.0
14,test,accuracy,,0.9092926383018494
14,general,weights_l2,layers.0.weight,11309.5537109375
14,general,weights_l2,layers.1.weight,9513.0869140625
14,general,weights_l2,layers.2.weight,6313.939453125
14,train,zero_terms,,0.0
14,train,softmax_collapse,,1.0
15,train,loss,,3.1456246566910357e-15
15,test,loss,,0.7463366270000782
15,train,accuracy,,1.0
15,test,accuracy,,0.949491024017334
15,general,weights_l2,layers.0.weight,14498.935546875
15,general,weights_l2,layers.1.weight,12295.2822265625
15,general,weights_l2,layers.2.weight,8350.056640625
15,train,zero_terms,,0.0
15,train,softmax_collapse,,1.0
16,train,loss,,6.186987914789889e-16
16,test,loss,,0.6336128571966648
16,train,accuracy,,1.0
16,test,accuracy,,0.9672409296035767
16,general,weights_l2,layers.0.weight,18116.2734375
16,general,weights_l2,layers.1.weight,15674.93359375
16,general,weights_l2,layers.2.weight,10923.0498046875
16,train,zero_terms,,0.012140199725866458
16,train,softmax_collapse,,1.0
17,train,loss,,1.9037053116589967e-16
17,test,loss,,0.48137250598663567
17,train,accuracy,,1.0
17,test,accuracy,,0.9842077493667603
17,general,weights_l2,layers.0.weight,20308.767578125
17,general,weights_l2,layers.1.weight,18051.099609375
17,general,weights_l2,layers.2.weight,13576.357421875
17,train,zero_terms,,0.21206187585666733
17,train,softmax_collapse,,1.0
18,train,loss,,6.986991974045923e-17
18,test,loss,,1.20354982041488
18,train,accuracy,,1.0
18,test,accuracy,,0.9809449315071106
18,general,weights_l2,layers.0.weight,21278.203125
18,general,weights_l2,layers.1.weight,19135.1796875
18,general,weights_l2,layers.2.weight,14984.9931640625
18,train,zero_terms,,0.5535539455649109
18,train,softmax_collapse,,1.0
19,train,loss,,4.1804559944276013e-17
19,test,loss,,1.3897527146683653
19,train,accuracy,,1.0
19,test,accuracy,,0.9878621697425842
19,general,weights_l2,layers.0.weight,21972.0390625
19,general,weights_l2,layers.1.weight,19903.853515625
19,general,weights_l2,layers.2.weight,15954.501953125
19,train,zero_terms,,0.7049148227922459
19,train,softmax_collapse,,1.0
